Country	Bank	Year	Interest_income	Interest_expenses	Net_non_interest_income	Operating_expenses	Net_provisions	Income_tax	Distributed_profit	Retained_profit	Cash_and_balance_with_Central_bank	Interbank_deposits_asset	Loans	Securities	Other_assets	Capital_and_reserves	Borrowing_from_Central_bank	Interbank_deposits_liab	Customer_deposits	Bonds	Other_liabilities	Number_of_institutions	Number_of_branches	Number_of_employees
Germany	Commercial_banks	2005	101525	69056	21433	35088	989	5128	4105	8592	26523	544774	1191915	638586	87700	91448	88523	717908	1110245	306222	175152	163	13972	190700
Germany	Commercial_banks	2006	115615	81142	17239	36773	4919	1851	5302	2867	25887	562897	1256837	679932	98040	99160	113992	705101	1185218	322630	197492	163	11475	186700
Germany	Commercial_banks	2007	139372	101452	16062	37448	-1993	3372	9376	5779	36866	650513	1411205	710561	130984	105153	91692	783138	1367906	365319	226921	164	11196	190250
Germany	Commercial_banks	2008	138952	103464	-3450	35231	13339	-524	689	-16697	75690	640072	1248087	627859	189377	123455	108247	664439	1300360	328306	256278	169	11192	189400
Germany	Commercial_banks	2009	87672	55127	9345	37925	10654	-227	2105	-8566	55307	575678	1138431	584124	130521	116476	35817	565372	1228449	336029	201918	174	11393	181900
Greece	Commercial_banks	1999	8493	5975	3484	2497	672	587	681	1563	16314	9705	37915	35789	3918	10246	2482	5512	70137	237	15027	16	2070	47000
Greece	Commercial_banks	2000	10794	7363	2754	3296	510	611	795	973	16670	13023	60702	42453	5761	12390	691	10707	88098	140	26584	17	2670	53000
Greece	Commercial_banks	2001	8675	4786	2191	3551	510	564	804	651	10086	14471	72373	48204	6682	14095	72	9689	97532	127	30303	20	2766	52000
Greece	Commercial_banks	2002	8225	4328	1472	3659	644	300	439	326	4824	18981	86167	47458	6813	10859	2753	17820	102746	319	29746	19	2931	54000
Greece	Commercial_banks	2003	8039	3445	1621	3895	853	393	615	459	5433	20253	99041	41889	7202	11888	4313	19467	113222	2888	22040	20	2952	54415
Greece	Commercial_banks	2004	8247	3244	1550	4299	1099	569	538	48	6636	18869	112730	39290	6599	8979	2232	16857	135566	9731	10759	21	3048	52503
Greece	Commercial_banks	2005	10098	4392	1871	4156	1184	458	669	1110	7957	23602	133950	47821	10397	12724	2741	31627	145811	17634	13190	21	3116	53750
Greece	Commercial_banks	2006	14263	7379	2629	4975	1575	916	1468	580	6089	28539	146292	65134	26771	18194	8958	34695	181596	778	28604	21	3265	54998
Greece	Commercial_banks	2007	19077	11485	2973	5562	1337	671	1377.7	1617.3	9018	51843	174280	71081	30113	21935	10812	55550	219048	1056	27934	19	3431	56773
Greece	Commercial_banks	2008	24289	16120	1659	5895	2886	384	0	663	14813.127	75071.157	191888.345	92798.697	41313.963	20991.841	36048.845	65429.628	251486.122	5930.188	35998.665	19	3647	56901
Greece	Commercial_banks	2009	19239	11242	2693	6140	4485	420	0	-355	8983.836	98933.318	187504.781	109238.345	39559.934	29870.692	50382.019	75558.764	248560.422	6273.405	33574.912	19	3128	52732
Hungary	Commercial_banks	1999	850342	580789	64994	267018	33356	12638	16187	5348	1545241	799211	3161049	1243182	363973	663993	109305	1015027	4727248	117254	479829	41	1172	28094
Hungary	Commercial_banks	2000	771385	466955	80923	289194	-3509	19136	17779	62753	1418308	742553	4181712	1415328	373144	764887	83490	1217051	5444638	144625	476354	40	1131	26544
Hungary	Commercial_banks	2001	785162	444013	113277	301694	19682	25723	25586	81741	1136471	984029	4907343	1647251	377751	860590	32826	1320762	6151762	166785	520120	39	1125	25967
Hungary	Commercial_banks	2002	843616	458653	138154	341429	27597	27519	17182	109390	1133213	801975	6082817	1716725	450130	996618	16058	1394137	6762266	458891	556890	36	1138	26587
Hungary	Commercial_banks	2003	1049679	597059	194023	389732	44759	37789	37649	136714	876091	862959	8124919	2408977	587749	1208472	8138	2401210	7495817	1097741	649317	36	1162	27167
